movie_name,imdb_rating(out of 10),director,hero,collections(in Cr)
12th Fail,9.2,Vidhu Vinod Chopra,Vikrant Massey,45.7
Keedaa Cola,8.8,Tharun Bhascker Dhaassyam,Brahmanandam,15.1
Baipan Bhari Deva,8.7,Kedar Shinde,Nutan Aasgaonkar,91
Mastaney,8.7,Sharan Art,Tarsem Jassar,72
Chithha,8.6,S.U. Arun Kumar,Aafiyah,15.4
Jigarthanda Double X,8.5,Karthik Subbaraj,Raghava Lawrence,49.4
2018,8.4,Jude Anthany Joseph,Tovino Thomas,178.7
Saptha Sagaradaache Ello - Side A,8.4,Hemanth M. Rao,Rakshit Shetty,27.3
Viduthalai: Part 1,8.3,Vetrimaaran,Soori,53.2
Ghost,8.2,Srini,Shivarajkumar,31.5
